LANGUAGE,简体中文,Language name (in native language).
LANGUAGE_CHOICE,选择语言,Heading for language selection menu.
LANGUAGE_GAME,使用游戏默认语言,Default selection in language selection menu.
NOTE_CLOSE,关闭,Notification button text - closes the notification.
NOTE_DONTSHOWAGAIN,不再显示,Notification button text - don't show this notification again.
NO,否,Notification button text - don't perform this action.
YES,是,Notification button text - perfom this action.
PRESS_ANY_KEY,请按任意键,Shown when awaiting user input when changing a key setting.
CONFLICT_DETECTED,检测到不兼容模组！,Warning message that a mod conflict was detected.
UNABLE_TO_OPERATE,这表明模组无法运行且已经自动关闭,Warning message letting the user know that the mod can't work.
CONFLICTING_MODS,为使模组能正常使用，请取消订阅以下不兼容模组：,Part of the mod conflict warning notification - header for the list of conflicting mods.
HARMONY_ERROR,此模组无法调用它所需的 Harmony 库。,Warning message that a patching problem was detected, and the mod can't operate.
HARMONY_PROBLEM_CAUSES,造成该问题的原因可能是：,Header for list of possible causes of Harmony errors.
HARMONY_NOT_INSTALLED,此模组所需的必需物品 Harmony 2 未订阅或未启用,Possible cause of Harmony error - Harmony not installed.
HARMONY_MOD_ERROR,存在一个过时/损坏的模组导致 Harmony 2 模组无法正常运行,Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working.
HARMONY_MOD_CONFLICT,另一个模组可能在尝试调用冲突的 Harmony 库,Possible cause of Harmony error - two mods trying to patch the same thing at once.
DETAIL_LOGGING,启用详细的调试日志记录,Option to record more detail in game log
MOD_DESCRIPTION,在列表中添加和追踪喜爱的市民
HomeOutsideTheCity,远在他方
Home_Location_Dead,墓地
Citizen_Retired,退休
Citizen_Retired_tooltip,市民已退休
Unemployed_tooltip,市民目前有很多空闲时间……
Government_job,政府建筑
Electricity_job,电力厂
Water_job,水厂
Generic_job_place,市民在此工作
Vehicle_on_foot,市民步行
Citizen_Details,市民详情
Citizen_Details_fullTemplate,打开的家庭窗口太多，请先关闭一个
Status_static_label,状态：
Citizen_Family_unit,家庭
NowInThisDistrict,目前所在区域：
DistrictLabel,区域：
DistrictNameNoDistrict,无区域
Citizen_Details_No_Partner,没有伴侣
Citizen_Details_No_Childs,没有孩子
Right_click_to_swith_tooltip,右键切换市民
Home_Bubble_panel_Label,家庭：
Low_Wealth_Male,贫困
Mid_Wealth_Male,小康
High_Wealth_Male,富有
Low_Wealth_Female,贫困
Mid_Wealth_Female,小康
High_Wealth_Female,富有
WellBeingLabel,幸福感：
HappinessLabel,幸福度：
Wealth_Label,财富
Health_Level_VerySick_Male,病入膏肓
Health_Level_Sick_Male,生病
Health_Level_PoorHealth_Male,健康状况差
Health_Level_Healthy_Male,健康
Health_Level_VeryHealthy_Male,非常健康
Health_Level_ExcellentHealth_Male,健康状况极佳
Health_Level_VerySick_Female,非常生病
Health_Level_Sick_Female,生病
Health_Level_PoorHealth_Female,健康状况差
Health_Level_Healthy_Female,健康
Health_Level_VeryHealthy_Female,非常健康
Health_Level_ExcellentHealth_Female,健康状况极佳
District_Label,区域：
District_Label_tooltip,目前所在区域
Citizen_Details_NoUnit,市民已死亡或无家可归
Citizen_wait_hearse,等待灵车
Citizen_on_hearse,在灵车上
Citizen_hisfuneral,葬礼仪式
Citizen_buried,埋葬
Citizen_Tourist_tooltip,该市民正在城市旅游
View_PassengersList,查看乘客列表
View_NoPassengers,无乘客
Vehicle_Passengers,乘客
Vehicle_DriverIconText,驾驶员
Vehicle_PasssengerIconText,乘客
Citizens_HouseHolds,查看居民
Citizens_HouseHoldsTitle,居民
CitizenOnBuilding,员工和来访者列表
CitizenOnBuildingTitle,员工和来访者
CitizenOnHotelBuildingTitle,酒店员工和来访者
OnBuilding_Residential,公寓
OnBuilding_HotelRooms,酒店房间
View_List,查看列表
OnBuilding_Guests,来访者
OnBuilding_Workers,员工
WorkersOnBuilding,在岗员工列表
OnBuilding_NoWorkers,已打烊
OnBuilding_NoGuests,暂无来访者
OnBuilding_NoHotelGuests,暂无宾客
BuildingIsEmpty,此建筑内无人工作或居住
OnBuilding_TotalWorkers,总计在职员工：
Buildings_Type_CommercialEco,本地有机作物建筑
Buildings_Type_CommercialLeisure,休闲娱乐建筑
Buildings_Type_CommercialTourist,旅游观光建筑
Citizen_Arrested,该市民被捕
Transported_to_Prison,被送往监狱
Jailed_into,被监禁于
Citizen_at_School,在校学生
Citizen_at_University,在校学生
Citizen_at_Clinic,患者
Citizen_Under_Arrest,被捕的市民
OnBuilding_noArrested,暂无被捕的市民
OnPolice_Building_Service,警察和囚犯
OnPrison_Building_Service,守卫和囚犯
OnEducation_Building_Service,教师和学生
OnHighEducation_Building_Service,教授和学生
OnMedical_Building_Service,医生和患者
OnMedicalUniversity_Building_Service,医生、患者和学生
OnBuilding_noStudents,暂无学生
OnBuilding_noPatients,暂无患者
OnHelicopter_Building_Service,飞行员和员工
OnFire_Building_Service,消防员和员工
OnRescue_Building_Service,飞行员和救援人员
OnShelter_Building_Service,避难者和员工
OnBuilding_noHotelGuests,暂无宾客
