People_Life_Status_Dead_date,on this date
People_Life_Status_Dead_time,at time
NotificationIconVeryUnhappy,Very Unhappy
NotificationIconUnhappy,Unhappy
NotificationIconHappy,Happy
NotificationIconVeryHappy,Very Happy
NotificationIconExtremelyHappy,Extremely Happy
time_format,mm-dd-yyyy
People_Life_Status_IsGone,Citizen is gone away from the city
Citizen_HomeLess,Homeless
Citizen_HomeLess_tooltip,Citizen has no home
HomeOutsideTheCity,Far far away
Home_Location_Dead,At Cemetery
Citizen_Retired,Retired
Citizen_Retired_tooltip,Citizen retired from work
Unemployed_tooltip,Citizen has much free time at the moment...
Government_job,Government Building
Electricity_job,Electricity Plant
Water_job,Water Plant
Generic_job_place,Citizen Works in this building
Vehicle_on_foot,Citizen walking on foot
Citizen_Details,Citizen Detail
Citizen_Details_fullTemplate,Too many Family Windows opened, close one before open another
Status_static_label,Status : 
Citizen_Family_unit,Family
NowInThisDistrict,In this moment is in District: 
DistrictLabel,District: 
DistrictNameNoDistrict,None
Citizen_Details_No_Partner,No Partner
Citizen_Details_No_Childs,No Childs
Right_click_to_swith_tooltip,Right Click to Switch Citizen
Home_Bubble_panel_Label,Home : 
Low_Wealth_Male,Poor
Mid_Wealth_Male,Well-off
High_Wealth_Male,Rich
Low_Wealth_Female,Poor
Mid_Wealth_Female,Well-off
High_Wealth_Female,Rich
WellBeingLabel,Wellbeing: 
HappinessLabel,Happiness : 
Wealth_Label,Wealth
Health_Level_VerySick_Male,Very Sick
Health_Level_Sick_Male,Sick
Health_Level_PoorHealth_Male,Poor Health
Health_Level_Healthy_Male,Healthy
Health_Level_VeryHealthy_Male,Very Healthy
Health_Level_ExcellentHealth_Male,Excellent Health
Health_Level_VerySick_Female,Very Sick
Health_Level_Sick_Female,Sick
Health_Level_PoorHealth_Female,Poor Health
Health_Level_Healthy_Female,Healthy
Health_Level_VeryHealthy_Female,Very Healthy
Health_Level_ExcellentHealth_Female,Excellent Health
District_Label,District: 
District_Label_tooltip,In this District at the moment
Citizen_Details_NoUnit,Citizen is dead or homeless
Citizen_wait_hearse,Waiting for funeral car
Citizen_on_hearse,On funeral car
Citizen_hisfuneral,Funeral ceremony
Citizen_buried,Six Feet Under
Citizen_Tourist_tooltip,This citizen is visiting our City
View_PassengersList,View passengers list
View_NoPassengers,No passengers
Vehicle_Passengers,Passengers on board
Vehicle_DriverIconText,Vehicle Driver
Vehicle_PasssengerIconText,Passengers
Citizens_HouseHolds,View Residents
Citizens_HouseHoldsTitle,Residents
CitizenOnBuilding,Employees and Guests List
CitizenOnBuildingTitle,Employees and Guests
CitizenOnHotelBuildingTitle,Employees and Hotel Guests and Visitors
OnBuilding_Residential,Apartment 
OnBuilding_HotelRooms,Hotel Room 
View_List,View 
OnBuilding_Guests,Guests
OnBuilding_Workers,Employees at work
WorkersOnBuilding,List of employees at work
OnBuilding_NoWorkers,Nobody at work
OnBuilding_NoGuests,No guests inside
OnBuilding_NoHotelGuests,No hotel guests inside
BuildingIsEmpty,Nobody works or lives here
OnBuilding_TotalWorkers,Tot:
Buildings_Type_CommercialEco,Ecologic Commercial Building
Buildings_Type_CommercialLeisure,Leisure Commercial Building
Buildings_Type_CommercialTourist,Tourism Commercial Building
Citizen_Arrested,This Citizen is in Jail!
Transported_to_Prison,Transported to Prison
Jailed_into,Jailed into 
Citizen_at_School,Pupils at school
Citizen_at_University,Students at university
Citizen_at_Clinic,Patients being treated
Citizen_Under_Arrest,Citizens under arrest
OnBuilding_noArrested,Nobody jailed here
OnPolice_Building_Service,Officers and Prisoners
OnPrison_Building_Service,Guards and Prisoners
OnEducation_Building_Service,Teachers and Pupils
OnHighEducation_Building_Service,Lecturers and Students
OnMedical_Building_Service,Doctors and Patients
OnMedicalUniversity_Building_Service,Doctors and Patients and Students
OnBuilding_noStudents,No Students inside
OnBuilding_noPatients,No Patients inside
OnHelicopter_Building_Service,Pilots and Workers
OnFire_Building_Service,FireFighters and Workers
OnRescue_Building_Service,Pilots and RescueWorkers
OnShelter_Building_Service,Survivors and Workers
OnBuilding_noHotelGuests,No Hotel guests inside
